Restaurant ID,City,Country,Latitude,Longitude,region_cluster
17501291,Macon,United States,32.567741,-83.594494,1
17500759,Macon,United States,32.853896,-83.657061,1
17500767,Macon,United States,32.8496,-83.6737,1
17500819,Macon,United States,32.8899,-83.6766,1
17500911,Macon,United States,32.8361,-83.6279,1
17501439,Macon,United States,32.83641,-83.627979,1
17501279,Macon,United States,32.929278,-83.713978,1
17500695,Macon,United States,32.8375,-83.6276,1
17501298,Macon,United States,32.83654,-83.628703,1
17500847,Macon,United States,32.928495,-83.787993,1
17500872,Macon,United States,32.901,-83.6873,1
17501315,Macon,United States,32.556873,-83.662421,1
17501201,Macon,United States,32.5786,-83.624,1
17501247,Macon,United States,32.6184,-83.6665,1
17501281,Macon,United States,32.552684,-83.691044,1
17501143,Macon,United States,32.594666,-83.64935,1
17501292,Macon,United States,32.6176839,-83.636618,1
17501308,Macon,United States,32.619321,-83.600201,1
17501301,Macon,United States,32.593264,-83.665557,1
17501268,Macon,United States,32.6147,-83.7184,1
16611701,Mayfield,Australia,-32.899178,151.7343832,3
17482142,Mc Millan,United States,46.3718,-85.7363,1
16609169,Middleton Beach,Australia,-35.025861,117.917166,3
17606621,Miller,United States,44.5158,-98.9891,1
17687832,Monroe,United States,42.606306,-89.653487,1
16613059,Montville,Australia,-26.690462,152.893735,3
17534788,Ojo Caliente,United States,36.313638,-106.057666,1
17061237,Orlando,United States,28.540432,-81.381077,1
17057397,Orlando,United States,28.405437,-81.585226,1
17058534,Orlando,United States,28.372858,-81.514608,1
17060320,Orlando,United States,28.371338,-81.517725,1
17057925,Orlando,United States,28.440344,-81.469986,1
17060869,Orlando,United States,28.4676808,-81.4510725,1
17057591,Orlando,United States,28.437065,-81.471526,1
17059541,Orlando,United States,28.433235,-81.471447,1
17064266,Orlando,United States,28.560505,-81.364347,1
17064405,Orlando,United States,28.557845,-81.364547,1
17060516,Orlando,United States,28.448175,-81.487978,1
17059012,Orlando,United States,28.811653,-81.266871,1
17061296,Orlando,United States,28.543571,-81.351467,1
17061205,Orlando,United States,28.527592,-81.522987,1
17064031,Orlando,United States,28.601088,-81.322631,1
17066603,Orlando,United States,28.597366,-81.357219,1
17057797,Orlando,United States,28.5976271,-81.3508344,1
17061253,Orlando,United States,28.592857,-81.352921,1
17059060,Orlando,United States,28.596682,-81.36526,1
17061231,Orlando,United States,28.593297,-81.356024,1
16613649,Palm Cove,Australia,-16.748083,145.670768,3
18255631,Paynesville,Australia,-37.9194154,147.7227832,3
16608483,Penola,Australia,-37.379153,140.837409,3
17580453,Pensacola,United States,30.4025979,-86.8573393,1
17580142,Pensacola,United States,30.4179,-87.2027,1
17580160,Pensacola,United States,30.4251,-87.1819,1
17580349,Pensacola,United States,30.4982,-87.2216,1
17580412,Pensacola,United States,30.417318,-87.205855,1
17580590,Pensacola,United States,30.403034,-87.213274,1
